product_variant_id,attribute_id,value
896,4,332.2
896,1,Cinza
897,6,234.8
897,7,false
897,3,106.8
898,8,Fibra de Vidro
899,2,XG
899,5,402.2
900,7,false
900,1,Cinza
900,4,1.9
901,2,P
901,1,preto
901,6,111.2
902,4,458.0
903,5,21.4
903,6,50.9
903,1,Azul
904,6,331.4
904,5,50.8
905,1,Branco
905,6,122.3
905,7,true
906,4,155.4
906,8,Fibra de Vidro
907,4,397.6
907,6,40.2
907,5,349.9
908,5,84.7
908,4,313.5
908,8,Inox
909,6,466.6
910,5,245.1
911,3,289.2
911,5,85.1
912,3,297.7
912,7,false
913,7,false
913,8,Náilon
913,5,23.1
914,5,107.8
914,1,Verde
914,7,false
915,5,254.5
915,3,359.3
915,2,P
916,4,225.5
917,5,249.1
917,4,231.6
918,6,75.6
919,8,Fibra de Vidro
919,2,M
919,5,34.4
920,6,344.0
920,4,382.3
920,2,XG
921,8,PVC
921,1,Azul
921,3,475.5
922,3,98.9
923,5,97.0
924,4,257.5
924,5,487.1
925,3,93.7
925,1,Azul
925,2,GG
926,2,G
926,7,false
927,7,asdf
927,8,PVC
928,3,458.6
928,2,G
929,6,75.0
930,7,false
930,8,PVC
930,2,G
931,1,Cinza
932,2,G
933,8,Náilon
934,5,411.5
934,8,Náilon
935,8,PVC
936,1,Branco
936,4,457.5
936,5,152.1
937,1,Preto
937,2,XG
938,7,true
939,3,17.1
939,7,false
940,5,196.5
941,2,M
941,3,175.1
941,1,Preto
942,1,CCinza
943,4,209.6
943,3,449.9
944,8,Náilon
944,7,true
944,5,229.0
945,1,Branco
946,2,GG
946,3,228.4
947,4,42.2
947,1,Cinza
948,1,Preto
949,7,true
949,1,Verde
950,4,289.4
951,5,81.4
951,3,254.9
952,5,162.4
953,5,34.4
954,7,truue
954,5,367.4
954,4,439.2
955,8,PVC
956,4,208.8
956,7,false
956,3,49.0
957,7,true
957,1,Azul
958,4,396.2
958,5,386.5
958,1,Cinza
959,7,false
960,1,Verde
960,5,284.4
961,1,Branco
961,5,369.6
962,3,2.7
962,1,Cinza
962,6,96.9
963,7,true
964,8,Fibra de Vidro
965,3,157.6
965,7,true
966,3,391.2
967,3,366.2
967,2,GG
967,5,339.7
968,5,277.0
969,6,216.8
969,8,Náilon
970,8,PVC
970,5,266.4
971,2,XG
971,5,154.5
971,3,208.6
972,2,P
972,8,Fibra de Vidro
972,3,238.4
973,5,--
973,3,74.2
974,5,99.3
974,8,náilon
975,1,Branco
976,2,G
976,8,Fibra de Vidro
976,4,45.01
977,2,GX
977,4,11.1
978,2,XG
978,3,496.2
979,7,true
979,3,317.4
980,1,Vermelho
980,7,false
980,4,167.0
981,4,356.4
981,5,402.5
982,4,??
983,7,true
983,2,G
983,5,132.8
984,6,456.5
984,1,Vermelho
984,7,false
985,8,Fibra de Vidro
985,6,118.2
985,3,346.2
986,3,174.6
987,8,Náilon
987,2,G
987,1,Cinza 
988,6,189.1
989,2,G
989,1,Branco
990,1,Azul
990,5,298.4
990,4,2.2
991,3,101.7
992,4,127.6
993,2,XG
993,8,Inox
993,6,230.0
994,3,1.2
995,5,190.9
995,3,17.1
995,1,Verde
996,6,51.7
996,5,438.7
997,4,71.4
998,2,M
998,7,false
999,3,373.0
1000,8,Inox
1000,1,Azul
1000,3,376.6
1001,5,329.5
1001,2,P
1002,1,Preto
1002,6,266.8
1002,8,Náilon
1003,3,77.1
1004,7,false
1005,8,Inox
1005,2,M
1006,6,63.0
1006,1,??
1006,2,XG
1007,4,155.7
1007,6,316.5
1008,6,191.4
1008,3,458.3
1008,8,PVC
1009,7,false
1009,4,266.4
1009,2,M
