id,return_number,order_id,customer_id,received_at_location_id,status,reason,total_refund_amount,created_at,updated_at
237,RT-000237,37679,458,5,completed,Produto avariado no transporte,3083.36,2020-10-29 12:08:13,2020-10-29 12:08:13
238,RT-000238,29379,743,2,completed,Cliente desistiu da compra,7169.93,2022-03-14 03:41:42,2022-03-14 03:41:42
239,RT-000239,10216,1315,3,open,Item não corresponde à descrição,7707.06,2023-06-24 08:54:33,2023-06-24 08:54:33
240,RT-000240,24449,985,4,completed,Produto com defeito de fábrica,4280.16,2023-11-24 14:57:43,2023-11-24 14:57:43
241,RT-000241,21981,1089,1,completed,Item não corresponde à descrição,1078.27,2023-04-15 03:24:11,2023-04-15 03:24:11
242,RT-000242,1673,648,3,completed,Produto com defeito de fábrica,0.00,2021-01-17 10:31:12,2021-01-17 10:31:12
245,RT-000245,16150,366,5,completed,Item não corresponde à descrição,0.00,2024-11-19 18:35:21,2024-11-19 18:35:21
246,RT-000246,48691,1484,5,open,Item não corresponde à descrição,0.00,2023-05-09 11:27:03,2023-05-09 11:27:03
247,RT-000247,41716,1963,3,completed,Item não corresponde à descrição,0.00,2025-09-24 09:15:10,2025-09-24 09:15:10
248,RT-000248,8944,1304,4,completed,Cliente desistiu da compra,13681.40,2023-02-18 12:26:30,2023-02-18 12:26:30
249,RT-000249,12097,1990,3,open,Compra duplicada,4552.65,2022-10-12 08:47:23,2022-10-12 08:47:23
250,RT-000250,26100,1501,1,completed,Cliente desistiu da compra,4064.55,2026-03-04 03:31:01,2026-03-04 03:31:01
251,RT-000251,11296,422,6,completed,Cliente desistiu da compra,8176.04,2023-08-17 05:12:54,2023-08-17 05:12:54
252,RT-000252,24811,569,1,completed,Item não corresponde à descrição,0.00,2023-09-13 22:06:05,2023-09-13 22:06:05
253,RT-000253,9436,138,1,completed,Produto com defeito de fábrica,0.00,2026-01-24 10:05:49,2026-01-24 10:05:49
254,RT-000254,47765,87,5,completed,Produto avariado no transporte,431.13,2026-05-07 13:45:20,2026-05-07 13:45:20
255,RT-000255,41525,1023,1,open,Produto com defeito de fábrica,770.73,2024-03-14 12:15:17,2024-03-14 12:15:17
256,RT-000256,32697,632,4,completed,Tamanho/cor incorretos,2181.28,2026-04-02 00:41:11,2026-04-02 00:41:11
257,RT-000257,39772,204,2,completed,Tamanho/cor incorretoos,28749.90,2021-04-08 01:28:18,2021-04-08 01:28:18
258,RT-000258,33669,782,5,completed,Produto avariado no transporte,1742.58,2022-11-04 11:55:43,2022-11-04 11:55:43
259,RT-000259,36447,1560,3,completed,Tamanho/cor incorretos,2637.66,2022-01-25 20:33:13,2022-01-25 20:33:13
260,RT-000260,5635,1995,2,cancelled,Tamanho/cor incorretos,2355.20,2026-05-05 17:31:58,2026-05-05 17:31:58
261,RT-000261,18957,1330,3,completed,Produto com defeito de fábrica,2217.71,2021-12-24 07:31:35,2021-12-24 07:31:35
262,RT-000262,44583,578,2,completed,Compra duplicada,0.00,2020-06-02 02:55:00,2020-06-02 02:55:00
263,RT-000263,47443,6,4,completed,Cliente desistiu da compra,24596.04,2020-05-15 22:37:24,2020-05-15 22:37:24
264,RT-000264,24477,1648,6,completed,Produto avariado no transporte,12985.86,2024-12-03 19:26:48,2024-12-03 19:26:48
265,RT-000265,33043,1280,6,completed,Cliente desistiu da compra,0.00,2021-02-06 22:30:19,2021-02-06 22:30:19
266,RT-000266,4729,1923,4,cancelled,Tamanho/cor incorretos,2954.61,2026-07-17 11:13:40,2026-07-17 11:13:40
267,RT-000267,15946,25,2,completed,Compra duplicada,12407.05,2020-03-04 14:54:01,2020-03-04 14:54:01
268,RT-000268,11540,1118,6,completed,Produto avariado no transporte,0.00,2020-08-31 15:15:15,2020-08-31 15:15:15
269,RT-000269,30947,230,2,completed,Produto avariado no transporte,0.00,2026-06-30 02:51:59,2026-06-30 02:51:59
270,RT-000270,25248,1482,5,completed,Cliente desistiu da compra,2545.65,2026-06-03 03:59:31,2026-06-03 03:59:31
271,RT-000271,30369,1277,5,completed,Cliente desistiu da compra,8320.29,2024-11-03 04:10:24,2024-11-03 04:10:24
272,RT-000272,45360,1243,4,completed,Cliente desistiu da compra,5357.67,2021-07-09 11:40:20,2021-07-09 11:40:20
273,RT-000273,18030,1156,3,completed,Produto avariado no transporte,31146.16,2023-12-30 11:24:24,2023-12-30 11:24:24
274,RT-000274,11151,1394,2,completed,Cliente desistiu da compra,1781.99,2024-03-29 18:47:10,2024-03-29 18:47:10
275,RT-000275,9739,715,5,completed,Compra duplicada,0.00,2020-07-24 06:30:56,2020-07-24 06:30:56
276,RT-000276,35578,1987,1,completed,Produto com defeito de fábrica,6215.48,2022-10-06 16:22:57,2022-10-06 16:22:57
278,RT-000278,31062,1734,5,completed,Compra duplicada,5497.94,2026-01-07 20:01:32,2026-01-07 20:01:32
279,RT-000279,23625,593,5,cancelled,Tamanho/cor incorretos,212.31,2026-11-23 22:31:37,2026-11-23 22:31:37
280,RT-000280,11490,413,6,completed,Item não corresponde à descrição,21022.04,2025-04-18 04:49:02,2025-04-18 04:49:02
281,RT-000281,4400,1215,4,completed,Item não corresponde à descrição,20839.50,2021-12-28 04:38:36,2021-12-28 04:38:36
282,RT-000282,15831,641,3,completed,Compra duplicada ,0.00,2024-12-11 01:45:27,2024-12-11 01:45:27
283,RT-000283,4228,1478,4,completed,Produto com defeito de fábrica,0.00,2022-02-13 11:14:29,2022-02-13 11:14:29
284,RT-000284,30192,903,1,completed,Compra duplicada,3991.80,2025-07-31 00:33:52,2025-07-31 00:33:52
285,RT-000285,6408,902,2,completed,Compra duplicada,10752.08,2025-01-03 06:11:45,2025-01-03 06:11:45
286,RT-000286,15788,1340,3,completed,Compra duplicada,1149.60,2023-03-16 16:42:30,2023-03-16 16:42:30
287,RT-000287,33330,907,1,completed,Tamanho/cor incorretos,4471.89,2025-06-22 22:05:06,2025-06-22 22:05:06
288,RT-000288,2539,1030,5,completed,Item não corresponde à descrição,1611.17,2020-02-15 02:14:55,2020-02-15 02:14:55
289,RT-000289,620,449,2,completed,Produto avariado no transporte,5688.92,2024-12-31 12:57:32,2024-12-31 12:57:32
290,RT-000290,1295,623,2,cancelled,Tamanho/cor incorretos,0.00,2026-02-09 17:14:05,2026-02-09 17:14:05
291,RT-000291,27128,1179,5,completed,Item não corresponde à descrição,3749.70,2025-02-23 08:07:43,2025-02-23 08:07:43
292,RT-000292,19447,1944,2,completed,Produto avariado no transporte,21373.36,2026-02-13 01:47:52,2026-02-13 01:47:52
293,RT-000293,41694,821,3,completed,Produto avariado no transporte,4079.00,2026-02-24 13:04:53,2026-02-24 13:04:53
294,RT-000294,37365,1833,1,completed,compra duplicada,16186.28,2023-01-16 10:15:02,2023-01-16 10:15:02
295,RT-000295,30544,1575,5,completed,Item não corresponde à descrição,1463.58,2024-11-17 07:01:11,2024-11-17 07:01:11
296,RT-000296,37189,1562,3,cancelled,Tamanho/cor incorretos,17335.43,2023-05-07 16:13:07,2023-05-07 16:13:07
297,RT-000297,16998,284,5,completed,Produto com defeito de fábrica,3835.65,2020-03-05 03:49:11,2020-03-05 03:49:11
298,RT-000298,38148,906,3,completed,Compra duplicada,3185.84,2020-02-15 22:27:01,2020-02-15 22:27:01
299,RT-000299,42964,1022,4,completed,Produto com defeito de fábrica,2422.72,2020-01-18 10:01:52,2020-01-18 10:01:52
300,RT-000300,24872,1546,1,completed,Item não corresponde à descrição,0.00,2026-12-31 06:56:43,2026-12-31 06:56:43
301,RT-000301,42969,88,4,completed,Item não corresponde à descrição,0.00,2023-01-17 06:18:09,2023-01-17 06:18:09
302,RT-000302,49585,1708,2,completed,Produto com defeito de fábrica,1907.91,2026-09-08 17:45:59,2026-09-08 17:45:59
303,RT-000303,4887,710,2,completed,Tamanho/cor iincorretos,9514.47,2024-03-03 23:18:48,2024-03-03 23:18:48
304,RT-000304,7718,1346,6,completed,Tamanho/cor incorretos,4118.64,2021-10-27 12:23:00,2021-10-27 12:23:00
305,RT-000305,11434,1859,5,completed,Cliente desistiu da compra,1970.92,2025-10-24 04:33:17,2025-10-24 04:33:17
306,RT-000306,4505,987,6,completed,Produto avariado no transporte,0.00,2022-11-20 08:28:22,2022-11-20 08:28:22
307,RT-000307,99,860,3,completed,Produto avariado no transporte,5246.70,2026-03-20 00:52:23,2026-03-20 00:52:23
308,RT-000308,38982,1553,3,cancelled,Compra duplicada,18134.34,2023-03-06 13:18:11,2023-03-06 13:18:11
309,RT-000309,45224,848,3,completed,Tamanho/cor incorretos,14611.12,2022-05-14 10:02:08,2022-05-14 10:02:08
310,RT-000310,40557,196,4,completed,Item não corresponde à descrição,5261.05,2023-01-17 20:39:54,2023-01-17 20:39:54
311,RT-000311,19356,1293,4,completed,Compra duplicada,18558.85,2026-03-06 20:21:53,2026-03-06 20:21:53
312,RT-000312,48770,339,1,open,Tamanho/cor incorretos,13277.95,2025-09-26 20:56:14,2025-09-26 20:56:14
313,RT-000313,33045,430,2,cancelled,Compra duplicada,4624.50,2026-12-24 06:02:03,2026-12-24 06:02:03
314,RT-000314,33553,1412,5,completed,Compra duplicada,1856.75,2025-12-10 19:38:21,2025-12-10 19:38:21
315,RT-000315,35344,1681,2,open,Cliente desistiu da compra,0.00,2023-02-26 20:18:43,2023-02-26 20:18:43
316,RT-000316,39037,538,4,completed,Item não corresponde à descrição,3221.68,2025-09-11 16:13:19,2025-09-11 16:13:19
317,RT-000317,41793,1112,1,completed,Item não corresponde à descrição,821.48,2026-03-27 03:22:08,2026-03-27 03:22:08
318,RT-000318,43225,222,4,completed,Tamanho/cor incorretos,3325.66,2023-03-10 14:45:15,2023-03-10 14:45:15
319,RT-000319,36185,536,1,completed,Produto avariado no transporte,5958.40,2025-12-06 06:34:04,2025-12-06 06:34:04
320,RT-000320,36763,1793,4,completed,Item não corresponde à descrição,7505.35,2027-01-12 10:11:49,2027-01-12 10:11:49
321,RT-000321,13320,1839,5,completed,Tamanho/cor incorretos,4559.59,2021-05-10 19:17:13,2021-05-10 19:17:13
322,RT-000322,35806,1796,2,completed,Cliente desistiu da compra,5750.72,2022-03-15 03:26:09,2022-03-15 03:26:09
323,RT-000323,9900,1116,5,completed,Item não corresponde à descrição,9987.30,2022-12-24 12:26:44,2022-12-24 12:26:44
324,RT-000324,23413,1463,4,completed,Compra duplicada,11828.88,2024-09-15 00:22:34,2024-09-15 00:22:34
325,RT-000325,1439,707,5,completed,Produto com defeito de fábrica,14858.94,2024-08-04 03:29:10,2024-08-04 03:29:10
326,RT-000326,18501,784,6,completed,Tamanho/cor incorretos,14246.48,2021-12-08 08:29:28,2021-12-08 08:29:28
328,RT-000328,39898,1212,2,open,Tamanho/cor incorretos,5617.26,2027-01-18 22:21:28,2027-01-18 22:21:28
329,RT-000329,7557,1068,3,completed,Produto avariado no transporte,6897.12,2025-04-01 17:21:31,2025-04-01 17:21:31
330,RT-000330,36213,1884,4,completed,Produto avariado no transporte,15669.48,2023-08-24 03:05:08,2023-08-24 03:05:08
331,RT-000331,3098,802,2,completed,Produto avariado no transporte,0.00,2026-04-04 09:04:52,2026-04-04 09:04:52
332,RT-000332,19435,1030,5,completed,Produto avariado no transporte,0.00,2024-11-20 00:38:12,2024-11-20 00:38:12
333,RT-000333,49495,651,4,open,Produto avariado no transporte,3105.00,2023-04-24 20:08:49,2023-04-24 20:08:49
334,RT-000334,18517,994,6,cancelled,Item não corresponde à descrição,1074.54,2023-06-03 01:47:17,2023-06-03 01:47:17
335,RT-000335,23030,1227,5,cancelled,Compra duplicada,1832.14,2025-02-24 07:28:53,2025-02-24 07:28:53
336,RT-000336,9728,17,5,completed,Compra duplicada,2952.03,2026-05-15 18:49:29,2026-05-15 18:49:29
337,RT-000337,421,1378,1,completed,Cliente desistiu da compra,11247.25,2022-05-15 15:02:06,2022-05-15 15:02:06
338,RT-000338,20887,289,6,completed,Tamanho/cor incorretos,258.93,2024-11-24 09:23:13,2024-11-24 09:23:13
339,RT-000339,32573,1431,2,completed,Item não corresponde à descrição,16812.28,2026-01-19 02:49:00,2026-01-19 02:49:00
340,RT-000340,20132,268,4,completed,Cliente desistiu da compra,542.80,2026-02-12 02:49:54,2026-02-12 02:49:54
341,RT-000341,29357,235,3,completed,Produto avariado no transporte,5095.42,2026-03-21 21:48:48,2026-03-21 21:48:48
342,RT-000342,97,1664,4,completed,Tamanho/cor incorretos,7451.40,2024-10-27 12:44:12,2024-10-27 12:44:12
343,RT-000343,30631,1313,2,cancelled,Produto avariado no transporte,16515.62,2025-01-18 10:09:28,2025-01-18 10:09:28
344,RT-000344,45159,1938,2,completed,Cliente desistiu da compra,2952.04,2026-02-09 07:47:38,2026-02-09 07:47:38
345,RT-000345,7942,549,3,cancelled,Cliente desistiu da compra,0.00,2025-06-30 03:40:33,2025-06-30 03:40:33
346,RT-000346,22517,699,6,completed,Produto com defeito de fábrica,0.00,2025-04-14 00:37:23,2025-04-14 00:37:23
347,RT-000347,23541,1755,6,completed,Compra duplicada,0.00,2020-09-02 00:50:08,2020-09-02 00:50:08
348,RT-000348,43834,592,4,completed,Item não corresponde à descrição,1752.23,2026-12-12 11:22:12,2026-12-12 11:22:12
349,RT-000349,19385,1351,2,completed,Cliente desistiu da compra,0.00,2021-07-03 00:26:49,2021-07-03 00:26:49
350,RT-000350,48312,1236,2,completed,Compra duplicada,21256.76,2024-02-27 08:39:59,2024-02-27 08:39:59
351,RT-000351,42480,714,2,completed,Tamanho/cor incorretos,2118.14,2021-01-12 05:53:17,2021-01-12 05:53:17
352,RT-000352,14755,657,2,completed,Item não corresponde à descrição,1075.09,2022-02-13 14:12:16,2022-02-13 14:12:16
353,RT-000353,4799,1014,5,completed,Produto com defeito de fábrica,1824.05,2026-02-25 05:45:40,2026-02-25 05:45:40
354,RT-000354,45438,28,1,cancelled,Cliente desistiu da compra,0.00,2026-05-08 05:06:56,2026-05-08 05:06:56
355,RT-000355,45835,834,1,completed,Cliente desistiu da compra,3873.52,2026-04-20 07:39:12,2026-04-20 07:39:12
356,RT-000356,18394,1009,3,completed,Produto com defeito de fábrica,0.00,2024-11-12 09:53:32,2024-11-12 09:53:32
357,RT-000357,20144,767,2,completed,Produto avariado no transporte,4480.46,2027-01-06 03:40:17,2027-01-06 03:40:17
358,RT-000358,48430,1525,4,completed,Item não corresponde à descrição,623.70,2026-06-05 08:48:14,2026-06-05 08:48:14
359,RT-000359,49542,1318,6,completed,Produto avariado no transporte,3733.72,2021-04-13 19:46:03,2021-04-13 19:46:03
360,RT-000360,22929,1615,1,completed,Tamanho/cor incorretos,2855.52,2025-01-19 08:55:13,2025-01-19 08:55:13
361,RT-000361,5085,1501,2,cancelled,?,12111.50,2022-12-16 18:06:35,2022-12-16 18:06:35
362,RT-000362,4279,144,1,completed,Cliente desistiu da compra,5256.69,2020-12-08 10:49:02,2020-12-08 10:49:02
363,RT-000363,45228,1782,1,completed,Tamanho/cor incorretos,7952.19,2024-07-15 05:46:25,2024-07-15 05:46:25
364,RT-000364,26372,9,6,completed,Produto com defeito de fábrica,4806.64,2023-04-12 08:51:45,2023-04-12 08:51:45
365,RT-000365,20241,828,5,completed,Produto com defeito de fábrica,6906.60,2023-02-12 11:01:42,2023-02-12 11:01:42
366,RT-000366,29426,1481,4,completed,Tamanho/cor incorretos,0.00,2024-12-11 14:33:31,2024-12-11 14:33:31
367,RT-000367,40753,475,5,completed,Produto com defeito de fábrica,5282.72,2024-07-10 15:12:20,2024-07-10 15:12:20
368,RT-000368,17416,654,5,completed,outros,22062.98,2024-10-11 12:50:54,2024-10-11 12:50:54
369,RT-000369,11684,1272,4,completed,Produto avariado no transporte,0.00,2026-08-30 23:32:34,2026-08-30 23:32:34
370,RT-000370,29217,759,4,cancelled,Cliente desistiu da compra,3279.64,2022-06-22 14:49:42,2022-06-22 14:49:42
371,RT-000371,35860,543,2,completed,Tamanho/cor incorretos,1502.37,2020-10-08 10:05:59,2020-10-08 10:05:59
372,RT-000372,3859,1158,5,completed,Compra duplicada,6465.78,2022-04-08 15:49:50,2022-04-08 15:49:50
373,RT-000373,42494,453,4,completed,Cliente desistiu da compra,1110.66,2022-12-07 02:22:57,2022-12-07 02:22:57
374,RT-000374,46296,249,2,completed,Produto com defeito de fábrica,1686.65,2021-05-13 08:50:37,2021-05-13 08:50:37
375,RT-000375,26233,1859,4,completed,Produto avariado no transporte,7488.93,2026-04-17 21:09:31,2026-04-17 21:09:31
376,RT-000376,8999,287,5,open,Item não corresponde à descrição,3081.12,2026-05-30 17:47:09,2026-05-30 17:47:09
377,RT-000377,3366,215,2,completed,Produto avariado no transporte,13031.43,2026-12-19 03:38:41,2026-12-19 03:38:41
378,RT-000378,33049,18,2,completed,Compra duplicada,10096.20,2022-05-08 21:34:24,2022-05-08 21:34:24
379,RT-000379,14274,425,3,completed,Compra duplicada,11924.36,2026-02-11 00:01:27,2026-02-11 00:01:27
380,RT-000380,16585,532,2,open,Cliente desistiu da compra,7890.58,2025-10-31 13:57:10,2025-10-31 13:57:10
381,RT-000381,28427,666,6,completed,Item não corresponde à descrição,728.82,2022-05-15 21:35:05,2022-05-15 21:35:05
382,RT-000382,41034,452,6,open,Item não corresponde à descrição,705.44,2020-02-01 04:48:26,2020-02-01 04:48:26
383,RT-000383,49152,841,2,completed,Tamanho/cor incorretos,970.50,2021-04-26 10:33:38,2021-04-26 10:33:38
384,RT-000384,44931,1526,1,completed,Compra duplicada,5275.84,2026-01-25 15:15:53,2026-01-25 15:15:53
385,RT-000385,41423,1210,3,completed,Tamanho/cor incorretos,5458.86,2023-03-23 07:20:23,2023-03-23 07:20:23
386,RT-000386,1631,1603,4,completed,Cliente desistiu da compra,1136.58,2022-03-22 00:39:33,2022-03-22 00:39:33
387,RT-000387,13111,328,1,completed,Produto avariado no transporte,5080.74,2022-01-15 10:53:09,2022-01-15 10:53:09
388,RT-000388,37629,246,1,completed,Item não corresponde à descrição,531.14,2022-02-07 19:29:10,2022-02-07 19:29:10
389,RT-000389,9284,1769,6,completed,Item não corresponde à descrição,0.00,2024-03-12 07:23:34,2024-03-12 07:23:34
390,RT-000390,7488,616,2,completed,Produto com defeito de fábrica,20409.87,2024-01-06 14:13:10,2024-01-06 14:13:10
391,RT-000391,29701,246,6,completed,Produto avariado no transporte,8677.14,2024-03-13 10:34:42,2024-03-13 10:34:42
392,RT-000392,45905,1089,2,cancelled,Cliente desistiu da compra,0.00,2023-04-05 15:06:16,2023-04-05 15:06:16
393,RT-000393,44813,1020,2,cancelled,Produto com defeito de fábrica,1285.04,2022-03-18 14:19:00,2022-03-18 14:19:00
394,RT-000394,30281,1645,4,completed,Tamanho/cor incorretos,15551.71,2026-05-17 06:07:50,2026-05-17 06:07:50
395,RT-000395,9451,805,4,completed,Cliente desistiu da compra,1389.22,2026-04-02 07:34:51,2026-04-02 07:34:51
396,RT-000396,6728,865,2,cancelled,Produto com defeito de fábrica,7136.82,2026-02-23 02:24:46,2026-02-23 02:24:46
397,RT-000397,21079,18,6,open,Tamanho/cor incorretos,12410.04,2022-08-09 03:40:47,2022-08-09 03:40:47
398,RT-000398,24331,1041,2,completed,Tamanho/cor incorretos,11122.52,2026-01-05 18:18:57,2026-01-05 18:18:57
399,RT-000399,45807,1907,5,completed,Produto avariado no transporte,3767.89,2025-03-21 06:02:48,2025-03-21 06:02:48
400,RT-000400,7548,1235,3,cancelled,Produto avariado no transporte,2565.88,2023-04-01 16:48:26,2023-04-01 16:48:26
401,RT-000401,32603,36,4,completed,Produto com defeito de fábrica,5733.68,2021-02-01 05:34:16,2021-02-01 05:34:16
402,RT-000402,29004,853,3,open,Tamanho/cor incorretos,35614.30,2025-03-02 16:08:25,2025-03-02 16:08:25
403,RT-000403,28217,1685,2,completed,Cliente desistiu da compra,2990.13,2025-12-13 03:04:29,2025-12-13 03:04:29
404,RT-000404,38174,1893,2,completed,Cliente desistiu da compra,20892.64,2020-12-23 23:33:58,2020-12-23 23:33:58
405,RT-000405,35545,334,3,completed,Tamanho/cor incorretos,9249.92,2024-01-02 15:10:54,2024-01-02 15:10:54
406,RT-000406,29527,617,3,completed,outros,0.00,2021-02-03 08:59:01,2021-02-03 08:59:01
407,RT-000407,28238,1583,4,open,Item não corresponde à descrição,33813.27,2020-04-27 16:50:07,2020-04-27 16:50:07
408,RT-000408,25763,1681,5,completed,Item não corresponde à descrição,0.00,2023-02-04 16:59:16,2023-02-04 16:59:16
409,RT-000409,1586,448,6,completed,Cliente desistiu da compra,3664.16,2026-12-27 09:13:12,2026-12-27 09:13:12
410,RT-000410,22762,152,2,cancelled,Cliente desistiu da compra,15361.30,2024-11-30 07:29:40,2024-11-30 07:29:40
411,RT-000411,40676,372,3,completed,Item não corresponde à descrição,862.14,2022-03-01 11:08:54,2022-03-01 11:08:54
412,RT-000412,16457,1339,6,completed,Tamanho/cor incorretos,8774.34,2020-11-29 05:14:12,2020-11-29 05:14:12
413,RT-000413,44619,1426,5,open,Cliente desistiu da compra,0.00,2020-02-07 05:52:31,2020-02-07 05:52:31
414,RT-000414,19592,623,1,cancelled,Tamanho/cor incorretos,7692.75,2024-10-01 11:26:27,2024-10-01 11:26:27
415,RT-000415,4582,1384,4,completed,Item não corresponde à descrição,7928.46,2023-01-21 19:04:31,2023-01-21 19:04:31
416,RT-000416,33033,121,3,completed,Compra duplicada,11252.82,2021-01-31 00:40:26,2021-01-31 00:40:26
417,RT-000417,3641,928,6,completed,Compra duplicada,0.00,2023-03-26 09:13:57,2023-03-26 09:13:57
418,RT-000418,38032,180,4,completed,Cliente desistiu da compra,56727.54,2024-12-28 22:49:36,2024-12-28 22:49:36
419,RT-000419,43044,1828,2,open,Tamanho/cor incorretos,12086.60,2024-10-07 12:10:43,2024-10-07 12:10:43
420,RT-000420,39424,1568,2,completed,Compra duplicada,19446.12,2026-02-05 03:32:12,2026-02-05 03:32:12
421,RT-000421,43128,1293,1,completed,Item não corresponde à descrição,2974.82,2020-02-25 12:06:39,2020-02-25 12:06:39
422,RT-000422,15815,902,4,completed,Tamanho/cor incorretos,10708.92,2022-02-24 11:12:30,2022-02-24 11:12:30
423,RT-000423,25407,672,6,completed,Cliente desistiu da compra,10971.62,2021-02-14 06:16:49,2021-02-14 06:16:49
424,RT-000424,22006,1517,4,completed,Tamanho/cor incorretos,0.00,2026-01-22 01:00:11,2026-01-22 01:00:11
425,RT-000425,44125,104,4,completed,Item não corresponde à descrição,3655.52,2021-03-23 09:57:35,2021-03-23 09:57:35
426,RT-000426,42806,1537,3,completed,Produto com defeito de fábrica,9024.24,2026-06-17 01:37:48,2026-06-17 01:37:48
427,RT-000427,10834,705,4,completed,Produto com defeito de fábrica,15548.74,2020-03-03 19:01:36,2020-03-03 19:01:36
428,RT-000428,21127,510,1,cancelled,Item não corresponde à descrição,0.00,2025-11-28 19:03:07,2025-11-28 19:03:07
429,RT-000429,10082,1920,3,completed,Tamanho/cor incorretos,6176.66,2021-06-06 17:51:31,2021-06-06 17:51:31
430,RT-000430,36663,1887,3,completed,Produto com defeito de fábrica,0.00,2022-02-12 14:59:56,2022-02-12 14:59:56
431,RT-000431,41777,1962,1,completed,Produto avariado no transporte,18744.02,2023-03-21 04:56:31,2023-03-21 04:56:31
432,RT-000432,10711,1340,5,completed,Compra duplicada,13036.72,2021-09-02 00:58:24,2021-09-02 00:58:24
433,RT-000433,7243,83,3,completed,Compra duplicada,3166.59,2023-04-02 03:44:54,2023-04-02 03:44:54
434,RT-000434,6690,1244,6,completed,Produto com defeito de fábrica,4391.25,2025-03-01 13:34:50,2025-03-01 13:34:50
435,RT-000435,43038,1292,1,completed,Cliente desistiu da compra,0.00,2026-01-17 12:22:00,2026-01-17 12:22:00
436,RT-000436,28417,1403,3,completed,Compra duplicada,8434.20,2026-09-14 11:45:58,2026-09-14 11:45:58
437,RT-000437,49455,19,1,completed,Produto avariado no transporte,6196.20,2022-04-03 10:50:19,2022-04-03 10:50:19
438,RT-000438,37680,1875,5,completed,Tamanho/cor incorretos,19789.48,2023-04-22 13:56:10,2023-04-22 13:56:10
439,RT-000439,12088,1677,6,open,Cliente desistiu da compra,138.66,2025-10-29 07:32:10,2025-10-29 07:32:10
440,RT-000440,7896,1821,2,completed,Compra duplicada,5832.60,2023-11-22 15:37:42,2023-11-22 15:37:42
441,RT-000441,45731,472,5,completed,Produto com defeito de fábrica,823.05,2024-01-29 11:40:43,2024-01-29 11:40:43
442,RT-000442,17048,1433,5,cancelled,Produto avariado no transporte,9416.79,2022-03-13 06:26:34,2022-03-13 06:26:34
443,RT-000443,4458,923,1,completed,Produto com defeito de fábrica,6389.18,2021-01-11 22:21:14,2021-01-11 22:21:14
444,RT-000444,2682,153,3,completed,Item não corresponde à descrição,13530.07,2020-02-28 04:26:10,2020-02-28 04:26:10
445,RT-000445,21527,937,4,cancelled,Cliente desistiu da compra,4795.53,2026-04-29 01:01:06,2026-04-29 01:01:06
446,RT-000446,36869,1374,5,completed,Tamanho/cor incorretos,0.00,2023-12-05 18:07:44,2023-12-05 18:07:44
447,RT-000447,5078,523,3,completed,Tamanho/cor incorretos,14503.92,2026-01-22 08:04:22,2026-01-22 08:04:22
448,RT-000448,1161,78,5,open,Compra duplicada,2398.56,2026-12-27 05:37:44,2026-12-27 05:37:44
449,RT-000449,43275,1709,2,completed,Cliente desistiu da compra,30320.54,2025-07-16 09:55:25,2025-07-16 09:55:25
450,RT-000450,27812,1317,2,completed,Produto com defeito de fábrica,6986.64,2025-12-10 21:39:14,2025-12-10 21:39:14
451,RT-000451,1757,1665,3,completed,Compra duplicada,0.00,2024-09-22 19:44:39,2024-09-22 19:44:39
452,RT-000452,33039,1918,3,open,Cliente desistiu da compra,2036.26,2024-12-31 22:50:56,2024-12-31 22:50:56
453,RT-000453,9691,1099,5,completed,Item não corresponde à descrição,13057.90,2025-02-17 22:58:02,2025-02-17 22:58:02
454,RT-000454,32320,1258,2,completed,Tamanho/cor incorretos,21116.92,2024-03-14 23:17:12,2024-03-14 23:17:12
455,RT-000455,27144,305,2,completed,Produto avariado no transporte,3755.98,2025-02-04 23:36:05,2025-02-04 23:36:05
456,RT-000456,41902,1325,6,completed,Compra duplicada,27514.06,2020-11-22 00:13:28,2020-11-22 00:13:28
457,RT-000457,28542,1331,6,completed,Produto com defeito de fábrica,543.46,2024-08-25 16:23:03,2024-08-25 16:23:03
458,RT-000458,42595,1565,3,completed,Produto com defeito de fábrica,8071.98,2025-02-23 10:14:25,2025-02-23 10:14:25
459,RT-000459,40477,1029,1,completed,Produto com defeito de fábrica,5932.72,2024-10-11 01:54:26,2024-10-11 01:54:26
460,RT-000460,42787,1978,4,completed,Produto avariado no transporte,12383.80,2025-11-12 20:27:14,2025-11-12 20:27:14
461,RT-000461,13457,646,6,completed,Cliente desistiu da compra,5016.14,2021-11-09 06:07:55,2021-11-09 06:07:55
462,RT-000462,26015,1640,4,completed,Cliente desistiu da compra,4427.91,2024-07-03 19:06:29,2024-07-03 19:06:29
463,RT-000463,9400,1793,6,completed,Tamanho/cor incorretos,5432.98,2021-01-20 07:09:31,2021-01-20 07:09:31
464,RT-000464,48801,202,6,cancelled,Cliente desistiu da compra,5468.72,2025-06-22 11:44:02,2025-06-22 11:44:02
465,RT-000465,4064,917,5,open,Produto com defeito de fábrica,7997.76,2025-11-04 07:04:13,2025-11-04 07:04:13
466,RT-000466,33124,290,2,completed,Cliente desistiu da compra,4973.44,2025-01-11 19:20:38,2025-01-11 19:20:38
467,RT-000467,6693,544,2,completed,Produto com defeito de fábrica,2942.30,2023-01-17 18:33:26,2023-01-17 18:33:26
468,RT-000468,4940,1176,2,open,Produto com defeito de fábrica,2554.55,2023-05-22 11:23:20,2023-05-22 11:23:20
469,RT-000469,18900,223,2,completed,Cliente desistiu da compra,3194.59,2026-02-04 03:07:58,2026-02-04 03:07:58
